50.038035965,	19.958207206,	243.722
50.038040759,	19.958026425,	241.272
50.038119293,	19.958024829,	242.067
50.038158049,	19.958041899,	242.578
50.038198782,	19.958072086,	243.239
50.038233217,	19.958096853,	243.779
50.038234056,	19.958096682,	243.782
50.038259026,	19.958143382,	244.498
50.038261969,	19.958148082,	244.571
50.038262822,	19.958147908,	244.574
50.038283411,	19.958180832,	245.075
50.038303436,	19.958219116,	245.615
50.038305584,	19.958225272,	245.694
50.03830566,	19.958226566,	245.709
50.038326406,	19.958267587,	246.259
50.038328458,	19.958271185,	246.307
50.038340091,	19.9582968,	246.532
50.038340449,	19.958301976,	246.584
50.038341702,	19.958307014,	246.625
50.03834188,	19.958309599,	246.651
50.03835081,	19.958357973,	246.639
50.038351263,	19.958363202,	246.598
50.038360087,	19.958404244,	246.225
50.038360524,	19.95840947,	246.185
50.038353845,	19.95845431,	245.94
50.03835321,	19.958457068,	245.926
50.038348589,	19.958494919,	245.704
50.03834816,	19.958500262,	245.67
50.038348473,	19.958504156,	245.64
50.038340064,	19.958558459,	245.326
50.038338706,	19.95856268,	245.307
50.038325532,	19.958615334,	244.942
50.038324827,	19.95861687,	244.928
50.038305929,	19.958648814,	244.63
50.03830517,	19.958650194,	244.617
50.038294583,	19.958684843,	244.33
50.038291525,	19.95868931,	244.286
50.038279358,	19.958716146,	244.049
50.038277008,	19.958719038,	244.02
50.038275064,	19.958725379,	243.968
50.038273661,	19.958728566,	243.94
50.038260757,	19.958755697,	243.698
50.038258596,	19.958760356,	243.656
50.038257871,	19.95876188,	243.643
50.038236103,	19.958788696,	243.371
50.038220795,	19.958800789,	243.229
50.038216604,	19.958801979,	243.206
50.038213305,	19.958803418,	243.183
50.038210174,	19.958806743,	243.148
50.038208608,	19.958808406,	243.13
50.038181944,	19.95882488,	242.916
50.038156807,	19.958838556,	242.727
50.038154304,	19.958838768,	242.716
50.038139521,	19.958843816,	242.627
50.038136194,	19.958844299,	242.611
50.038132766,	19.958843332,	242.606
50.038131096,	19.958843796,	242.597
50.038099187,	19.958848208,	242.45
50.038097506,	19.958848715,	242.44
50.03808222,	19.958849732,	242.378
50.038078787,	19.958848986,	242.371
50.038075418,	19.958849914,	242.352
50.038074513,	19.958848479,	242.359
50.038055582,	19.958841907,	242.338
50.038052152,	19.958841228,	242.325
50.03804956,	19.95884035,	242.317
50.038033231,	19.958836893,	242.249
50.03802975,	19.958834635,	242.243
50.038026317,	19.958833993,	242.228
50.03802547,	19.958834235,	242.221
50.038012481,	19.958831924,	242.16
50.03800993,	19.958832662,	242.141
50.037986308,	19.95882784,	242.026
50.037976509,	19.958823493,	241.985
50.037972939,	19.958821609,	241.971
50.037972026,	19.958820378,	241.97
50.037955368,	19.958809711,	241.901
50.037952705,	19.95880746,	241.89
50.037931883,	19.958782946,	241.808
50.037921231,	19.958771254,	241.749
50.037918371,	19.958767941,	241.732
50.037917506,	19.958768193,	241.724
50.037894871,	19.958730405,	241.573
50.037887493,	19.958699885,	241.521
50.037886321,	19.958694706,	241.511
50.03788516,	19.958689509,	241.501
50.037885056,	19.958686717,	241.502
50.037878332,	19.958658246,	241.433
50.037876303,	19.958654748,	241.409
50.037876268,	19.958653337,	241.409
50.03786313,	19.958635834,	241.236
50.037860995,	19.958631059,	241.206
50.037859792,	19.958625965,	241.187
50.037848511,	19.958594237,	241.004
50.037848406,	19.958591505,	241.0
50.037839886,	19.958556091,	240.829
50.037839582,	19.95855219,	240.819
50.037825971,	19.958509475,	240.519
50.037823652,	19.958504839,	240.468
50.037822078,	19.95849871,	240.427
50.037822963,	19.958468187,	240.387
50.037824919,	19.958440985,	240.378
50.037822074,	19.958391724,	240.226
50.037821368,	19.958385341,	240.198
50.037820856,	19.958380199,	240.176
50.037820358,	19.958376403,	240.157
50.037818117,	19.958355891,	240.062
50.037822325,	19.958327339,	240.054
50.037822871,	19.958323256,	240.022
50.037833539,	19.958291977,	239.929
50.037835693,	19.958286256,	239.916
50.037838044,	19.958281813,	239.922
50.037840441,	19.95827736,	239.929
50.037840269,	19.958276081,	239.91
50.037846091,	19.958263045,	239.9
50.03784834,	19.95825864,	239.903
50.037848965,	19.958255879,	239.886
50.037862322,	19.95822951,	239.895
50.037864558,	19.958225119,	239.896
50.037867746,	19.958220552,	239.918
50.037869974,	19.958216167,	239.918
50.037870717,	19.958214706,	239.918
50.037877972,	19.958198812,	239.897
50.037880127,	19.958194434,	239.895
50.037881385,	19.958190222,	239.873
50.037882115,	19.958188762,	239.872
50.037886124,	19.95817741,	239.827
50.037888386,	19.958173036,	239.826
50.037889676,	19.958168818,	239.804
50.03789186,	19.958164439,	239.801
50.037892588,	19.958162979,	239.8
50.037903079,	19.958145153,	239.82
50.037906066,	19.958140606,	239.831
50.037909268,	19.958137377,	239.863
50.037911793,	19.958135617,	239.898
50.037918653,	19.958126384,	239.937
50.037921858,	19.958123167,	239.969
50.037926108,	19.958121113,	240.038
50.037927698,	19.958119504,	240.053
50.0379458,	19.958101603,	240.227
50.037949041,	19.95809967,	240.274
50.037949898,	19.958099518,	240.291
50.037955852,	19.958091686,	240.32
50.037978167,	19.958069912,	240.521
50.037981388,	19.958067965,	240.565
50.037982898,	19.958066311,	240.575
50.037996286,	19.958056879,	240.738
50.038000484,	19.958056092,	240.818
50.038003663,	19.958054103,	240.86
50.038006845,	19.958052113,	240.903
50.038010195,	19.958051476,	240.966
50.038011036,	19.958051321,	240.982
50.038021738,	19.958047888,	241.166
50.038025066,	19.958047232,	241.228
50.038028393,	19.958046577,	241.29
50.038046264,	19.958047132,	241.68
50.038050408,	19.958046301,	241.757
50.038061115,	19.958044031,	241.876
50.038064549,	19.958044673,	241.911
50.038067008,	19.95804412,	241.921
50.038086608,	19.958046721,	242.103
50.038096863,	19.958048537,	242.204
50.038114475,	19.958057,	242.444
50.038118023,	19.958058982,	242.496
50.03813463,	19.958075889,	242.841
50.038138146,	19.95807782,	242.891
50.038145393,	19.95808432,	243.028
50.038159846,	19.958097219,	243.295
50.038162627,	19.958100629,	243.357
50.038165404,	19.958104036,	243.42
50.038167982,	19.958104788,	243.447
50.038185662,	19.958128888,	243.869
50.038189154,	19.958130766,	243.915
50.03819183,	19.958132808,	243.957
50.038204946,	19.958139167,	244.118
50.038205873,	19.958140279,	244.137
50.038218561,	19.958150653,	244.342
50.03822126,	19.958152706,	244.383
50.038236942,	19.958169081,	244.674
50.038239736,	19.958172431,	244.73
50.03824253,	19.958175783,	244.786
50.038243462,	19.9581769,	244.805
50.038252173,	19.958190804,	245.019
50.038254199,	19.958195604,	245.086
50.038256079,	19.95819784,	245.123
50.038264933,	19.958215564,	245.377
50.038267733,	19.958218915,	245.431
50.03826976,	19.958223699,	245.497
50.038271786,	19.958228479,	245.562
50.038276708,	19.958237885,	245.695
50.038276784,	19.958239153,	245.71
50.038284993,	19.95825828,	245.968
50.038285948,	19.958259409,	245.986
50.038289419,	19.958272895,	246.155
50.038291525,	19.958277703,	246.219
50.038292744,	19.958282636,	246.28
50.038300099,	19.958312236,	246.643
50.038301244,	19.958315909,	246.689
50.038303673,	19.958338453,	246.856
50.038304045,	19.958343502,	246.821
50.038304416,	19.958348548,	246.786
50.03830471,	19.958352349,	246.76
50.03831236,	19.958391381,	246.507
50.038312829,	19.958396545,	246.471
50.038313415,	19.958403004,	246.427
50.038313884,	19.958408175,	246.391
50.038314117,	19.958410759,	246.373
50.038318124,	19.958444481,	246.145
50.038318795,	19.958451106,	246.1
50.038319374,	19.958456479,	246.063
50.038319663,	19.958459169,	246.045
50.038317363,	19.958488967,	245.822
50.038317033,	19.958494408,	245.782
50.038315786,	19.958499849,	245.738
50.038314489,	19.958505193,	245.695
