50.037962431,	19.958926779,	241.665
50.037903332,	19.958837387,	241.518
50.037897643,	19.958816353,	241.508
50.037939337,	19.958893999,	241.582
50.037856497,	19.958746663,	241.207
50.038071347,	19.958007187,	241.437
50.038121237,	19.958000653,	241.776
50.03815407,	19.958005547,	242.117
50.038167555,	19.958015674,	242.348
50.038198376,	19.958040785,	242.87
50.03822225,	19.958070495,	243.383
50.038240682,	19.958100008,	243.866
50.038273609,	19.958134338,	244.482
50.038295807,	19.958180204,	245.137
50.038337453,	19.95821136,	245.638
50.038340424,	19.958244192,	245.961
50.038323649,	19.958217794,	245.703
50.038309473,	19.958193448,	245.36
50.038374288,	19.958400904,	246.107
50.038373733,	19.958464982,	245.685
50.038350542,	19.958525477,	245.474
50.038363303,	19.958554882,	245.167
50.038335466,	19.958614022,	244.964
50.038329401,	19.958648055,	244.72
50.038310901,	19.95868895,	244.359
50.038321224,	19.958736627,	244.053
50.038332432,	19.958694478,	244.397
50.038264817,	19.958822261,	243.233
50.038230656,	19.958863821,	242.811
50.038254597,	19.958847478,	243.015
50.038196966,	19.958875835,	242.603
50.038146378,	19.958922695,	242.327
50.038114872,	19.958936915,	242.214
50.038080764,	19.958927228,	242.091
50.038045165,	19.958914451,	241.963
50.037981719,	19.958893598,	241.734
50.037956863,	19.95885395,	241.762
50.037943577,	19.958803994,	241.839
50.037929926,	19.958789721,	241.777
50.037902432,	19.958786885,	241.576
50.037879078,	19.958719999,	241.422
50.037861204,	19.958674258,	241.224
50.037846366,	19.958613205,	240.99
50.037848366,	19.958559236,	240.972
50.037844988,	19.95845598,	240.815
50.037851879,	19.958380028,	240.901
50.03794854,	19.95817987,	241.306
50.037868346,	19.958326478,	241.2
50.03788002,	19.95827349,	240.851
50.037871483,	19.958223898,	240.047
50.037897528,	19.958165247,	239.942
50.037939112,	19.958128101,	240.42
50.037982522,	19.958098044,	240.994
50.038009434,	19.958075817,	241.283
50.038022699,	19.958066909,	241.449
50.038080086,	19.958051542,	242.121
50.038118957,	19.958052534,	242.418
50.038153119,	19.958090196,	243.157
50.038194557,	19.958115346,	243.754
50.03823258,	19.958157828,	244.513
50.038250675,	19.958209105,	245.228
50.03827348,	19.958239032,	245.693
50.03829973,	19.95830101,	246.516
50.038310252,	19.958358876,	246.733
50.038320395,	19.958394865,	246.51
50.038326836,	19.958450018,	246.136
50.038329511,	19.958505184,	245.749
50.038314811,	19.958580519,	245.154
50.038287289,	19.958636984,	244.648
50.038146273,	19.95812788,	243.61
50.038090344,	19.958116301,	243.098
50.038260281,	19.958677427,	244.26
50.03823095,	19.95866849,	244.218
50.038212375,	19.958691674,	243.985
50.038196375,	19.958700091,	243.866
50.038151986,	19.958699379,	243.712
50.038131698,	19.958726398,	243.444
50.03811517,	19.958722766,	243.411
50.03816694,	19.958764709,	243.295
50.038201353,	19.958731738,	243.656
50.03823331,	19.958724407,	243.824
50.038217113,	19.958755284,	243.544
50.038202795,	19.958780174,	243.313
50.03818158,	19.958793335,	243.142
50.038154959,	19.958806611,	242.95
50.038126659,	19.95878574,	242.999
50.038093516,	19.95879252,	242.831
50.038062871,	19.958746461,	243.052
50.038033883,	19.958732424,	242.917
50.038001137,	19.958713553,	242.696
50.037981999,	19.958704654,	242.535
50.038277572,	19.958704792,	244.125
50.038244493,	19.958798414,	243.332
50.038219001,	19.958785895,	243.33
50.038197722,	19.958841215,	242.855
50.038180507,	19.958846636,	242.754
50.038153868,	19.958859876,	242.563
50.03813192,	19.958846514,	242.58
50.038102447,	19.95884621,	242.476
50.038058168,	19.958854793,	242.255
50.038076715,	19.958715486,	243.325
50.038040245,	19.958661944,	243.444
50.03803306,	19.958632683,	243.54
50.038070104,	19.958494725,	244.89
50.038064055,	19.958471781,	245.034
50.03806319,	19.958468503,	245.054
50.038068906,	19.958182994,	243.909
50.038125883,	19.958193003,	244.36
50.038163732,	19.958197726,	244.627
50.03816567,	19.958196432,	244.62
50.038183005,	19.958210917,	244.898
50.038187903,	19.958218923,	245.025
50.03820264,	19.95823196,	245.263
50.038206444,	19.958236963,	245.344
50.038224416,	19.958277185,	245.922
50.038243883,	19.958343138,	246.607
50.0382549,	19.958355266,	246.56
50.038263829,	19.958391421,	246.332
50.038271508,	19.958441372,	246.0
50.03827177,	19.958469448,	245.798
50.03827217,	19.958501978,	245.566
50.038272724,	19.95850569,	245.541
50.038234668,	19.958530078,	245.228
50.038218055,	19.958583284,	244.785
